serial,constituency_number,township,ward_village
6,6,ချင်းြပည်နယ်,25။ လိင်ဘန် ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,26။  ဟ လး  ကျးရွာအပ်စ
6,6,ချင်းြပည်နယ်,27။ ဆွာင်းဇန် ကျးရွာအပ်စ။
7,7,ချင်းြပည်နယ်,တွန်းဇ မို ့နယ်တစ်ခလး။
8,8,ချင်းြပည်နယ်,မင်းတပ် မို ့နယ်တစ်ခလး။
9,9,ချင်းြပည်နယ်,ကန်ပက်လက် မို ့နယ်တစ်ခလး။
10,10,ချင်းြပည်နယ်,မတူပီ မို ့နယ်တစ်ခလး။
11,11,ိ  ကျးရွာ,ပလက်ဝ မို ့နယ်အတွငး် ရှိ  2။  တမန်းသား ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,3။  ရပ်ဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,4။ တွီကင်းဝ  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,5။  ဘာင်ပီး  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,6။ ပိနတ  ္နဲ ပင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,7။ ငရှား ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,8။ ငဒက်  ကျးရွာ အပ်စ
11,11,ိ  ကျးရွာ,9။ ကျီး လ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,10။  က သာင်  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,11။ ကွမး် ချာင်းဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,12။ ြပင်ငူ  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,13။ တွီဆီးဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,14။ ြမာင်း ချာင်း  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,15။ ငတိန်း ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,16။ ဒလက် မ  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,17။  အာက်ဘလိင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,18။ တတ်  ကးဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,19။ ကန်း တာ် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,20။ တရွန်  အိင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,21။ ဇဉ် ဘာင်းြပင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,22။ ရှင်  မဒိန်ဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,23။  သာယာကန်း ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,24။ ယင်ခဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,25။ မီးဇာ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,26။ စက်  ပစ်ြပင် ကျးရွာ အပ်စ
11,11,ိ  ကျးရွာ,27။  အထက် သဲမဝ  ကျးရွာ အပ်စ
11,11,ိ  ကျးရွာ,28။ အထက်ဘလိင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,29။ ကွမ်း တာင် ကျးရွာ  အပ်စ
11,11,ိ  ကျးရွာ,30။ ဆတ်ချိုင် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,31။ ရှင်းလက်ဝ ကျးရွာ  အပ်စ
11,11,ိ  ကျးရွာ,32။ ရလိက်ဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,33။ ဆင်အးဝ  အပ်စ
11,11,ိ  ကျးရွာ,34။ ရှာအိ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,35။ ပါရာ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,36။ ပတိန်တလန် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,37။ ဝါးရ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,38။ မအူ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,39။ မိတဝ  ် ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,40။ ပကာဝ  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,41။  မာ်တလာ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,42။  ရလိင်ပီွ  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,43။ အန်းသီးဝ ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,44။ ဒူရီ တာင်  ကျးရွာအပ်စ
11,11,ိ  ကျးရွာ,45။ ကန်ြပင် ကျးရွာအပ်စ။
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,ပလက်ဝ မို ့နယ်အတွငး် ရှိ 1။ ရွာမရပ်ကွက် (ပလက်ဝ မို ့)
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,2။  ရိက္ခာရပ်ကွက(် ပလက်ဝ မို ့)
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,3။  အမှတ်(1)ရပ်ကွက်
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,4။ အမှတ်(2) ရပ်ကွက်(ဆမီး မို ့)
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,5။ အမှတ(် 3)  ွ ်(ဆမီး မို)
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,့ 6။ ကင်ဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,7။ မွန် ထာင့် ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,8။ စိမ့်စင်းဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,9။ လယ်လှ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,10။ အာက် သဲမဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,11။ နှမဒါ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,12။ အ ဘာင်သား ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,13။ ကနလ့် ာဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,14။ ခဝဲ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,15။ ရပ် ချာင်းဝ  ကျးရွာ အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,16။ ဘဲဒ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,17။ ဖတ် ချာင်းဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,18။ ယီးလာဝ  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,19။ ပါ မာင်  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,20။ ကက်မအိင် ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,21။ လိပ် ချာင်း ဝ ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,22။ တင်းဘန်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,23။ ဝါတိန် ကျးရွာ အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,24။ ဝက်မ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,25။ ဆားဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,26။ ဘာင်  ကန်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,27။ က နာင် ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,28။ ပျဉ်ဝ  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,29။ စင်ကီ တာင် ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,30။ ကယက်  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,31။ အာကီကန်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,32။ ဒီ လာင်  ကန်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,33။ တိင်ဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,34။ မီး ချာင်း  ဘားဝ ကျးရွာ အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,35။ တွီ ဆာ့ကန်း  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,36။ ဝါဒိင်ကန်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,37။ လာင် ယာ်ကန်း ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,38။ စင်လီ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,39။  သ ထာင် ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,40။ ကိ ဖ ရှ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,41။ အလယ်ဒန  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,42။ ခိက်ခါ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,43။ အပ်စ ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,44။ ထိန်း ခါင်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,45။ ချိုင်းစနူး ကျးရွာ  အပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,46။ မတနူး ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,47။ ထိးနူး ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,48။ ဂါ ရာြပင်  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,49။ ခန်တိ  ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,50။ လန်ဒန် ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,51။ ခွး ခါင်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,52။ ခါအိမ် ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,53။ တပ် ချာင်း ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,54။ ဝန် ချာင်းဝ ကျးရွာအပ်စ
12,4,စစ်ကိင်းတိင်း ဒသ ကီး,55။ မာက် ချာင်းဝ ကျးရွာ
1,1,စစ်ကိင်းတိင်း ဒသ ကီး,စစ်ကိင်းခရိင်တစ်ခလး။
2,2,စစ်ကိင်းတိင်း ဒသ ကီး,ရဘိခရိင်တစ်ခလး။
3,3,စစ်ကိင်းတိင်း ဒသ ကီး,ကနဘ့် လူခရိင်တစ်ခလး။
4,4,စစ်ကိင်းတိင်း ဒသ ကီး,မရွာခရိင်တစ်ခလး။
5,5,စစ်ကိင်းတိင်း ဒသ ကီး,ယင်းမာပင်ခရိင်တစ်ခလး။
6,6,စစ်ကိင်းတိင်း ဒသ ကီး,ကသာခရိင်အတွင်းရှိ  အင်း တာ် မို ့နယ်။
7,7,စစ်ကိင်းတိင်း ဒသ ကီး,ကသာခရိင်အတွင်းရှိ ဗန်း မာက် မို ့နယ်
7,7,စစ်ကိင်းတိင်း ဒသ ကီး,ဝန်းသိ မို ့နယ်နှင့် ပင်လည်ဘူး မို ့နယ်။
8,8,စစ်ကိင်းတိင်း ဒသ ကီး,က လးခရိင်တစ်ခလး။
9,9,အဆက်,တမူးခရိင်တစ်ခလး။
10,10,အဆက်,မာ်လိက်ခရိင်တစ်ခလး။
11,11,အဆက်,ခန္တီးခရိင်အတွင်းရှိ ခန္တးီ မို ့နယ် နှင့် ဟမ္မလင်း မို ့နယ်။
12,12,တနသာရီတိင်း ဒသ ကီး,နာဂကိယ်ပိင်အပ်ချုပ်ခွငရ  ( လရှီး မို ့နယ်
